TestGesamt,FZHosp,FZICU,FZHospFree,FZICUFree,BundeslandID,Time
5609,29,11,492,81,8,2020-04-09
26114,151,40,3664,269,9,2020-04-09
126287,820,266,18400,1008,10,2020-04-09
1736,8,4,648,13,1,2020-04-10
5891,18,12,730,84,2,2020-04-10
14061,152,53,3616,117,3,2020-04-10
23638,92,28,4406,97,4,2020-04-10
11521,74,19,1449,92,5,2020-04-10
13390,131,32,2782,141,6,2020-04-10
30904,122,61,712,95,7,2020-04-10
5958,27,11,494,80,8,2020-04-10
27644,147,41,3681,268,9,2020-04-10
134743,771,261,18518,987,10,2020-04-10
1768,11,3,573,12,1,2020-04-11
6082,19,10,729,83,2,2020-04-11
14544,194,42,3616,117,3,2020-04-11
24818,87,29,4718,97,4,2020-04-11
11864,70,18,1453,93,5,2020-04-11
13954,116,33,2800,127,6,2020-04-11
32951,116,63,692,91,7,2020-04-11
6082,27,10,495,27,8,2020-04-11
28912,150,37,3838,223,9,2020-04-11
140975,790,245,18914,870,10,2020-04-11
1799,14,3,577,13,1,2020-04-12
6156,17,10,726,84,2,2020-04-12
15267,189,42,3616,117,3,2020-04-12
25257,86,29,4837,105,4,2020-04-12
12215,68,21,1455,90,5,2020-04-12
14430,122,32,2939,139,6,2020-04-12
33473,113,61,422,99,7,2020-04-12
6355,27,10,495,27,8,2020-04-12
29925,156,35,3673,206,9,2020-04-12
144877,792,243,18740,880,10,2020-04-12
1823,9,3,551,13,1,2020-04-13
6250,17,10,719,88,2,2020-04-13
15483,192,42,4104,146,3,2020-04-13
25482,84,32,4787,99,4,2020-04-13
12450,71,20,1452,91,5,2020-04-13
14994,115,31,2963,141,6,2020-04-13
35005,103,57,434,103,7,2020-04-13
6464,22,10,500,83,8,2020-04-13
30461,129,34,3876,224,9,2020-04-13
148412,742,239,19386,988,10,2020-04-13
1849,11,4,534,11,1,2020-04-14
6365,16,8,728,79,2,2020-04-14
15860,193,43,4156,147,3,2020-04-14
26023,86,30,4520,99,4,2020-04-14
12590,81,20,1442,91,5,2020-04-14
15558,113,28,2861,144,6,2020-04-14
35629,104,56,440,107,7,2020-04-14
6531,23,10,499,83,8,2020-04-14
31391,132,44,3868,221,9,2020-04-14
151796,759,243,19048,982,10,2020-04-14
1938,16,4,547,12,1,2020-04-15
6549,15,10,733,82,2,2020-04-15
16188,193,42,4156,147,3,2020-04-15
26579,87,30,4153,104,4,2020-04-15
12837,78,19,1445,92,5,2020-04-15
16225,118,24,2655,135,6,2020-04-15
37091,109,55,423,102,7,2020-04-15
6734,23,10,499,31,8,2020-04-15
32660,130,38,3782,225,9,2020-04-15
156801,769,232,18393,930,10,2020-04-15
2020,13,4,493,18,1,2020-04-16
6887,13,10,737,87,2,2020-04-16
17410,190,46,3896,137,3,2020-04-16
27453,78,31,4025,104,4,2020-04-16
13288,73,15,1450,96,5,2020-04-16
16996,120,21,2545,135,6,2020-04-16
38388,90,54,401,94,7,2020-04-16
6767,18,11,503,25,8,2020-04-16
33607,134,46,3727,217,9,2020-04-16
162816,729,238,17777,913,10,2020-04-16
2209,13,5,492,15,1,2020-04-17
6956,10,8,727,87,2,2020-04-17
18269,179,40,3896,137,3,2020-04-17
27858,71,30,3936,108,4,2020-04-17
13659,77,19,1446,92,5,2020-04-17
17998,112,22,2510,147,6,2020-04-17
39722,81,54,357,82,7,2020-04-17
6998,13,10,509,77,8,2020-04-17
35603,126,39,3671,223,9,2020-04-17
169272,682,227,17544,968,10,2020-04-17
2301,12,5,486,15,1,2020-04-18
7156,7,9,739,85,2,2020-04-18
18831,166,41,3896,137,3,2020-04-18
29190,72,25,4268,97,4,2020-04-18
14085,74,17,1449,94,5,2020-04-18
19036,98,20,2537,146,6,2020-04-18
40884,74,51,350,83,7,2020-04-18
7193,15,8,509,79,8,2020-04-18
37256,129,32,3731,215,9,2020-04-18
175932,647,208,17965,951,10,2020-04-18
2357,11,5,479,19,1,2020-04-19
7269,6,9,727,82,2,2020-04-19
19112,156,40,3896,137,3,2020-04-19
29696,66,29,4353,95,4,2020-04-19
14386,72,16,1451,125,5,2020-04-19
19749,99,18,2716,164,6,2020-04-19
42019,63,49,370,81,7,2020-04-19
7400,12,7,513,24,8,2020-04-19
37256,128,31,3716,310,9,2020-04-19
179244,613,204,18221,1037,10,2020-04-19
2386,12,4,468,18,1,2020-04-20
7624,6,9,739,79,2,2020-04-20
19588,156,37,3896,137,3,2020-04-20
30373,63,27,4188,93,4,2020-04-20
14691,75,17,1452,124,5,2020-04-20
20098,91,17,2683,144,6,2020-04-20
42813,70,44,349,87,7,2020-04-20
7626,11,7,514,27,8,2020-04-20
37750,127,32,3794,248,9,2020-04-20
182949,611,194,18083,957,10,2020-04-20
2534,13,4,472,16,1,2020-04-21
7914,8,9,717,81,2,2020-04-21
20218,109,42,3696,128,3,2020-04-21
31046,60,30,3809,90,4,2020-04-21
14944,79,15,1448,126,5,2020-04-21
20792,86,17,2469,140,6,2020-04-21
43731,67,44,353,96,7,2020-04-21
7959,11,6,250,83,8,2020-04-21
39880,127,29,3415,225,9,2020-04-21
189018,560,196,16629,985,10,2020-04-21
2660,10,2,461,16,1,2020-04-22
8269,7,7,720,75,2,2020-04-22
20980,98,43,3278,129,3,2020-04-22
31933,59,20,3698,88,4,2020-04-22
15447,92,13,1435,128,5,2020-04-22
21678,81,14,2398,140,6,2020-04-22
44902,56,40,302,97,7,2020-04-22
8384,11,7,249,81,8,2020-04-22
47541,110,30,3433,321,9,2020-04-22
201794,524,176,15974,1075,10,2020-04-22
3006,13,4,451,17,1,2020-04-23
8528,7,7,718,90,2,2020-04-23
21969,88,43,3157,132,3,2020-04-23
33100,60,18,3658,89,4,2020-04-23
15969,78,14,1527,141,5,2020-04-23
22738,83,16,2364,143,6,2020-04-23
46349,53,38,318,96,7,2020-04-23
8656,10,6,251,27,8,2020-04-23
45520,116,23,3373,250,9,2020-04-23
205835,508,169,15817,985,10,2020-04-23
3568,12,2,433,18,1,2020-04-24
8755,7,7,717,82,2,2020-04-24
22572,87,40,3184,133,3,2020-04-24
34014,63,15,3640,97,4,2020-04-24
16674,78,12,1449,129,5,2020-04-24
23673,75,13,2386,132,6,2020-04-24
47235,45,36,317,100,7,2020-04-24
8989,8,6,253,27,8,2020-04-24
47206,120,25,3489,339,9,2020-04-24
212686,495,156,15868,1057,10,2020-04-24
4155,10,2,463,19,1,2020-04-25
8947,6,7,725,75,2,2020-04-25
24800,77,37,3207,133,3,2020-04-25
34849,56,15,3941,98,4,2020-04-25
17293,71,12,1456,129,5,2020-04-25
24949,65,12,2416,135,6,2020-04-25
48093,43,34,335,90,7,2020-04-25
9396,6,6,255,26,8,2020-04-25
48607,126,23,3536,347,9,2020-04-25
221089,460,148,16334,1052,10,2020-04-25
4167,9,2,477,17,1,2020-04-26
9036,6,6,717,81,2,2020-04-26
25849,81,39,3178,131,3,2020-04-26
35501,53,14,3994,105,4,2020-04-26
18171,68,11,1459,130,5,2020-04-26
25666,64,12,2612,125,6,2020-04-26
48412,43,32,304,94,7,2020-04-26
9856,6,6,255,26,8,2020-04-26
50973,119,23,3645,363,9,2020-04-26
227631,449,145,16641,1072,10,2020-04-26
4232,11,2,461,15,1,2020-04-27
9119,6,6,715,76,2,2020-04-27
27250,76,37,3505,133,3,2020-04-27
36230,55,11,3779,114,4,2020-04-27
18883,63,11,1464,130,5,2020-04-27
26126,63,12,2541,134,6,2020-04-27
48674,41,33,305,97,7,2020-04-27
