Time,Bundesland,BundeslandID,AnzEinwohner,AnzahlFaelle,AnzahlFaelleSum,AnzahlFaelle7Tage,SiebenTageInzidenzFaelle,AnzahlTotTaeglich,AnzahlTotSum,AnzahlGeheiltTaeglich,AnzahlGeheiltSum
2020-10-25,Tirol,7,757634,321,10923,2327,307.1404,2,124,214,8186
2020-10-25,Vorarlberg,8,397139,96,4186,1080,271.9451,3,31,118,2850
2020-10-25,Wien,9,1911191,460,27764,4345,227.3452,6,331,61,17860
2020-10-25,Österreich,10,8901064,2478,84804,18317,205.7844,18,1057,947,56653
2020-10-26,Burgenland,1,294436,178,1962,567,192.5716,3,22,26,1237
2020-10-26,Kärnten,2,561293,97,2028,499,88.90188,1,18,38,1303
2020-10-26,Niederösterreich,3,1684287,423,12958,2771,164.5207,3,173,214,9087
2020-10-26,Oberösterreich,4,1490279,429,13789,3771,253.0399,5,109,162,8858
2020-10-26,Salzburg,5,558410,134,5563,1610,288.3186,0,51,156,3510
2020-10-26,Steiermark,6,1246395,348,7240,2015,161.6662,5,215,82,4440
2020-10-26,Tirol,7,757634,369,11292,2434,321.2633,0,124,175,8361
2020-10-26,Vorarlberg,8,397139,180,4366,1183,297.8806,0,31,100,2950
2020-10-26,Wien,9,1911191,624,28388,4603,240.8446,8,339,123,17983
2020-10-26,Österreich,10,8901064,2782,87586,19453,218.5469,25,1082,1076,57729
2020-10-27,Burgenland,1,294436,131,2093,658,223.4781,0,22,35,1272
2020-10-27,Kärnten,2,561293,116,2144,565,100.6604,2,20,45,1348
2020-10-27,Niederösterreich,3,1684287,653,13611,3116,185.0041,5,178,155,9242
2020-10-27,Oberösterreich,4,1490279,879,14668,4269,286.4564,4,113,303,9161
2020-10-27,Salzburg,5,558410,256,5819,1696,303.7195,1,52,166,3676
2020-10-27,Steiermark,6,1246395,357,7597,2227,178.6753,5,220,159,4599
2020-10-27,Tirol,7,757634,537,11829,2716,358.4844,2,126,199,8560
2020-10-27,Vorarlberg,8,397139,268,4634,1387,349.248,1,32,114,3064
2020-10-27,Wien,9,1911191,1179,29567,5211,272.6572,8,347,292,18275
2020-10-27,Österreich,10,8901064,4376,91962,21845,245.4201,28,1110,1468,59197
2020-10-28,Burgenland,1,294436,144,2237,754,256.0828,1,23,44,1316
2020-10-28,Kärnten,2,561293,195,2339,694,123.6431,4,24,45,1393
2020-10-28,Niederösterreich,3,1684287,650,14261,3412,202.5783,4,182,231,9473
2020-10-28,Oberösterreich,4,1490279,978,15646,4722,316.8534,4,117,288,9449
2020-10-28,Salzburg,5,558410,289,6108,1713,306.7639,3,55,139,3815
2020-10-28,Steiermark,6,1246395,519,8116,2472,198.332,11,231,143,4742
2020-10-28,Tirol,7,757634,581,12410,3025,399.2693,2,128,231,8791
2020-10-28,Vorarlberg,8,397139,169,4803,1380,347.4854,0,32,93,3157
2020-10-28,Wien,9,1911191,939,30506,5478,286.6276,3,350,661,18936
2020-10-28,Österreich,10,8901064,4464,96426,23650,265.6986,32,1142,1875,61072
2020-10-29,Burgenland,1,294436,144,2381,820,278.4986,1,24,35,1351
2020-10-29,Kärnten,2,561293,202,2541,785,139.8557,3,27,47,1440
2020-10-29,Niederösterreich,3,1684287,775,15036,3754,222.8836,11,193,292,9765
2020-10-29,Oberösterreich,4,1490279,1183,16829,5365,359.9997,7,124,325,9774
2020-10-29,Salzburg,5,558410,409,6517,1835,328.6116,1,56,185,4000
2020-10-29,Steiermark,6,1246395,688,8804,2822,226.413,6,237,130,4872
2020-10-29,Tirol,7,757634,561,12971,3081,406.6607,3,131,313,9104
2020-10-29,Vorarlberg,8,397139,340,5143,1551,390.5434,1,33,126,3283
2020-10-29,Wien,9,1911191,741,31247,5448,285.0579,3,353,386,19322
2020-10-29,Österreich,10,8901064,5043,101469,25461,286.0445,36,1178,1839,62911
2020-10-30,Burgenland,1,294436,142,2523,894,303.6313,2,26,54,1405
2020-10-30,Kärnten,2,561293,215,2756,936,166.7578,2,29,81,1521
2020-10-30,Niederösterreich,3,1684287,795,15831,4126,244.9701,4,197,351,10116
2020-10-30,Oberösterreich,4,1490279,1136,17965,5788,388.3836,8,132,500,10274
2020-10-30,Salzburg,5,558410,325,6842,1894,339.1773,0,56,250,4250
2020-10-30,Steiermark,6,1246395,708,9512,3210,257.5428,7,244,222,5094
2020-10-30,Tirol,7,757634,731,13702,3379,445.9937,4,135,330,9434
2020-10-30,Vorarlberg,8,397139,421,5564,1716,432.0905,1,34,168,3451
2020-10-30,Wien,9,1911191,1243,32490,5887,308.0278,8,361,480,19802
2020-10-30,Österreich,10,8901064,5716,107185,27830,312.6592,36,1214,2436,65347
2020-10-31,Burgenland,1,294436,217,2740,1007,342.0098,3,29,51,1456
2020-10-31,Kärnten,2,561293,233,2989,1106,197.045,3,32,60,1581
2020-10-31,Niederösterreich,3,1684287,617,16448,4283,254.2916,10,207,262,10378
2020-10-31,Oberösterreich,4,1490279,1079,19044,6272,420.8608,7,139,352,10626
2020-10-31,Salzburg,5,558410,352,7194,2073,371.2326,1,57,247,4497
2020-10-31,Steiermark,6,1246395,628,10140,3484,279.5262,8,252,133,5227
2020-10-31,Tirol,7,757634,445,14147,3545,467.904,6,141,463,9897
2020-10-31,Vorarlberg,8,397139,274,5838,1748,440.1482,3,37,161,3612
2020-10-31,Wien,9,1911191,944,33434,6130,320.7424,5,366,356,20158
2020-10-31,Österreich,10,8901064,4789,111974,29648,333.0838,46,1260,2085,67432
2020-11-01,Burgenland,1,294436,127,2867,1083,367.8219,1,30,57,1513
2020-11-01,Kärnten,2,561293,85,3074,1143,203.637,1,33,72,1653
2020-11-01,Niederösterreich,3,1684287,777,17225,4690,278.4561,4,211,325,10703
2020-11-01,Oberösterreich,4,1490279,1011,20055,6695,449.2448,10,149,321,10947
2020-11-01,Salzburg,5,558410,411,7605,2176,389.6778,1,58,204,4701
2020-11-01,Steiermark,6,1246395,462,10602,3710,297.6584,4,256,161,5388
2020-11-01,Tirol,7,757634,462,14609,3686,486.5146,2,143,299,10196
2020-11-01,Vorarlberg,8,397139,389,6227,2041,513.9258,1,38,197,3809
2020-11-01,Wien,9,1911191,752,34186,6422,336.0208,8,374,246,20404
2020-11-01,Österreich,10,8901064,4476,116450,31646,355.5305,32,1292,1882,69314
2020-11-02,Burgenland,1,294436,207,3074,1112,377.6712,2,32,55,1568
2020-11-02,Kärnten,2,561293,222,3296,1268,225.907,3,36,52,1705
2020-11-02,Niederösterreich,3,1684287,863,18088,5130,304.5799,5,216,361,11064
2020-11-02,Oberösterreich,4,1490279,1099,21154,7365,494.2028,5,154,528,11475
2020-11-02,Salzburg,5,558410,251,7856,2293,410.6302,0,58,219,4920
2020-11-02,Steiermark,6,1246395,422,11024,3784,303.5956,6,262,281,5669
2020-11-02,Tirol,7,757634,796,15405,4113,542.8743,3,146,393,10589
2020-11-02,Vorarlberg,8,397139,293,6520,2154,542.3794,4,42,191,4000
2020-11-02,Wien,9,1911191,1036,35222,6834,357.5781,10,384,361,20765
2020-11-02,Österreich,10,8901064,5189,121639,34053,382.5722,38,1330,2441,71755
2020-11-03,Burgenland,1,294436,212,3286,1193,405.1814,1,33,79,1647
2020-11-03,Kärnten,2,561293,248,3544,1400,249.4241,3,39,66,1771
2020-11-03,Niederösterreich,3,1684287,848,18936,5325,316.1575,9,225,373,11437
2020-11-03,Oberösterreich,4,1490279,1570,22724,8056,540.5699,12,166,617,12092
2020-11-03,Salzburg,5,558410,438,8294,2475,443.2227,1,59,235,5155
2020-11-03,Steiermark,6,1246395,878,11902,4305,345.3961,11,273,235,5904
2020-11-03,Tirol,7,757634,797,16202,4373,577.1917,6,152,352,10941
